name,self_cpu_time_total_us,cpu_time_total_us,self_cpu_memory_usage,cpu_memory_usage,count
aten::addmm,3299429.8180000037,3472694.908000004,0,0,380
## Call CompiledFxGraph fsinxwudt33tndwwcy27eo5dbbdclk2isbberfrll4pk5og2zzyh ##,172174.88999999763,3789745.5589999994,-191692160,640,10
aten::copy_,168071.9720000018,168071.9720000018,0,0,380
aten::_scaled_dot_product_flash_attention_for_cpu,140389.5469999971,144875.76099999843,-11919360,191692800,60
aten::expand,3228.7309999971953,4652.378999998956,0,0,440
TorchDynamo Cache Lookup,2444.5260000003072,2444.5260000003072,0,0,10
aten::as_strided,1993.330000001754,1993.330000001754,0,0,800
compiled_fp32_forward,1553.069999999425,3795771.9189999998,0,640,10
aten::transpose,1434.5960000009145,2004.278000000908,0,0,360
Torch-Compiled Region: 0/0,1421.8899999998976,3791774.323,0,640,10
aten::empty_strided,898.3529999994935,898.3529999994935,188743680,188743680,60
aten::resolve_conj,848.5289999999034,848.5289999999034,0,0,760
aten::empty_like,619.8799999984476,1518.232999997941,0,188743680,60
Pregraph bytecode,507.4689999998441,507.4689999998441,0,0,10
aten::empty,445.73900000119465,445.73900000119465,14868480,14868480,180
aten::view,210.17400000041744,210.17400000041744,0,0,60
AOTDispatcher Runtime Wrapper Prologue,99.40500000040049,99.40500000040049,0,0,10
[memory],0.0,0.0,-576,-576,9
