name,self_cpu_time_total_us,cpu_time_total_us,self_cpu_memory_usage,cpu_memory_usage,count
aten::addmm,3258312.8529999997,3585756.0740000005,1698939520,1698939520,380
aten::gelu,359781.54199999804,359781.54199999804,754974720,754974720,60
aten::copy_,325195.29499999434,325195.29499999434,0,0,390
aten::_scaled_dot_product_flash_attention_for_cpu,227233.63200000548,231651.5040000007,-11919360,191692800,60
eager_fp32_forward,138472.35899999598,4605727.579,-3497563364,640,10
aten::native_layer_norm,120178.45300000379,123433.61800000226,0,410009600,130
aten::add,92397.64600000215,92397.64600000215,408954880,408954880,140
aten::index_select,19642.45600000085,19850.168999999813,35389440,35389440,20
aten::linear,14035.075000004108,3612361.8710000045,0,1698939520,380
aten::view,9625.33499999458,9625.33499999458,0,0,1320
aten::embedding,6651.170999999047,26595.2259999994,0,35389440,20
aten::where,5438.340999998181,10687.558000000106,31457040,62914560,120
aten::transpose,5353.582000006951,7511.142000001979,0,0,980
aten::layer_norm,4916.552999995372,128350.17099999764,-1048576,408961024,130
aten::empty,3157.54399999461,3157.54399999461,424878090,424878090,700
aten::as_strided,2641.325999989702,2641.325999989702,0,0,1650
aten::t,2292.11199999963,4905.336000000621,0,0,380
aten::empty_strided,1868.7509999986432,1868.7509999986432,188753920,188753920,70
aten::expand,1550.4880000063495,1830.8070000036532,0,0,470
aten::scaled_dot_product_attention,1364.805000000575,239571.45999999973,-34406640,188743680,60
aten::scalar_tensor,932.8110000011366,932.8110000011366,480,480,120
aten::resolve_conj,830.8150000027235,830.8150000027235,0,0,760
aten::bitwise_and,821.1700000005076,821.1700000005076,1312000,1312000,20
aten::reshape,338.6120000033352,987.7650000003814,0,0,100
aten::arange,321.3610000002882,630.0819999998057,5336,42400,80
aten::select,285.37099999940983,357.37999999886233,0,0,50
aten::empty_like,281.8660000027594,2113.330000000584,0,188743680,60
aten::unsqueeze,263.55900000189285,368.7050000002564,0,0,120
aten::index,261.72199999870645,431.9189999995142,10240,10240,10
aten::all,198.8280000007362,229.21800000040093,10,10,10
