variant,batch_size,accuracy,avg_latency_ms,throughput_samples_per_sec,model_size_mb,rss_memory_before_mb,rss_memory_after_accuracy_mb,rss_memory_after_benchmark_mb,compile_first_call_seconds,validation_examples,max_length,warmup_steps,measured_steps
baseline_fp32,1,0.875,55.362710752524436,18.06269935860035,255.45206356048584,720.0,738.3828125,738.3828125,0.0,872,128,5,20
baseline_fp32,8,0.875,489.60708850063384,16.339632713445983,255.45206356048584,740.38671875,747.69140625,747.93359375,0.0,872,128,5,20
baseline_fp32,16,0.875,835.2835671990761,19.155171522950198,255.45206356048584,748.1171875,748.0234375,748.515625,0.0,872,128,5,20
baseline_fp32,32,0.875,1721.333896453143,18.59023404229528,255.45206356048584,748.64453125,748.1796875,748.9296875,0.0,872,128,5,20
dynamic_quantized_int8,1,0.8761467889908257,28.0989998485893,35.58845529693131,132.28924465179443,791.52734375,792.8046875,792.8046875,0.0,872,128,5,20
dynamic_quantized_int8,8,0.8761467889908257,205.62875739851734,38.90506416131114,132.28924465179443,793.328125,793.328125,793.328125,0.0,872,128,5,20
dynamic_quantized_int8,16,0.8738532110091743,449.39010530215455,35.60381016676401,132.28924465179443,793.33203125,793.33203125,793.33203125,0.0,872,128,5,20
dynamic_quantized_int8,32,0.8658256880733946,910.0038279502769,35.16468724321509,132.28924465179443,793.33203125,794.7578125,794.7578125,0.0,872,128,5,20
compiled_fp32,1,0.875,57.919073550147004,17.26546953714977,255.45401668548584,998.95703125,998.95703125,998.95703125,66.10960883900407,872,128,5,20
compiled_fp32,8,0.875,360.2087379505974,22.20934463032709,255.45401668548584,1000.921875,1000.921875,1000.921875,3.5003068980004173,872,128,5,20
compiled_fp32,16,0.875,759.6697236949694,21.0617844846802,255.45401668548584,1001.35546875,1001.4140625,1001.4140625,2.6701742760196794,872,128,5,20
compiled_fp32,32,0.875,1528.3973397992668,20.936963946955537,255.45401668548584,1000.703125,1000.703125,1002.15625,3.238469806005014,872,128,5,20
