variant,batch_size,accuracy,avg_latency_ms,throughput_samples_per_sec,model_size_mb,rss_memory_before_mb,rss_memory_after_accuracy_mb,rss_memory_after_benchmark_mb,compile_first_call_seconds,validation_examples,max_length,warmup_steps,measured_steps
baseline_fp32,1,0.8784403669724771,56.364979851059616,17.741512595984737,255.45206356048584,751.25390625,768.96875,769.42578125,0.0,872,128,5,20
baseline_fp32,8,0.8784403669724771,440.3507215465652,18.167337098717653,255.45206356048584,769.625,779.6953125,779.5,0.0,872,128,5,20
baseline_fp32,16,0.8784403669724771,779.3065752048278,20.53107276272456,255.45206356048584,779.609375,779.8515625,780.04296875,0.0,872,128,5,20
baseline_fp32,32,0.8784403669724771,1758.9949544504634,18.192206816191398,255.45206356048584,780.0390625,779.90625,780.390625,0.0,872,128,5,20
dynamic_quantized_int8,1,0.8704128440366973,28.611474997887854,34.95101179068264,132.28924465179443,826.19921875,827.66796875,827.66796875,0.0,872,128,5,20
dynamic_quantized_int8,8,0.8784403669724771,207.4889608018566,38.55626809775037,132.28924465179443,827.60546875,827.60546875,827.60546875,0.0,872,128,5,20
dynamic_quantized_int8,16,0.8727064220183486,415.59557734872214,38.49896599494984,132.28924465179443,827.6015625,827.625,827.65625,0.0,872,128,5,20
dynamic_quantized_int8,32,0.8704128440366973,908.5334477480501,35.22159814734094,132.28924465179443,827.6640625,829.31640625,829.234375,0.0,872,128,5,20
compiled_fp32,1,0.8784403669724771,58.66178205324104,17.046873875948855,255.45401668548584,1053.23046875,1053.23046875,1053.23046875,80.91805542600923,872,128,5,20
compiled_fp32,8,0.8784403669724771,357.3455988007481,22.387291257673247,255.45401668548584,1062.0078125,1062.0078125,1062.0078125,9.921874200983439,872,128,5,20
compiled_fp32,16,0.8784403669724771,735.1557178524672,21.764096519223315,255.45401668548584,1060.75390625,1060.75390625,1060.75390625,2.3471449780045077,872,128,5,20
compiled_fp32,32,0.8784403669724771,1552.7002638496924,20.609257784667786,255.45401668548584,1059.8515625,1059.8515625,1059.8515625,3.336432523006806,872,128,5,20
