variant,batch_size,accuracy,avg_latency_ms,throughput_samples_per_sec,model_size_mb,rss_memory_before_mb,rss_memory_after_accuracy_mb,rss_memory_after_benchmark_mb,compile_first_call_seconds,validation_examples,max_length,warmup_steps,measured_steps
baseline_fp32,1,0.8795871559633027,65.8256976530538,15.191635419812492,255.45206356048584,748.1875,766.1875,766.6796875,0.0,872,128,5,20
baseline_fp32,8,0.8795871559633027,505.75877694936935,15.817817435130475,255.45206356048584,767.984375,779.37109375,779.19140625,0.0,872,128,5,20
baseline_fp32,16,0.8795871559633027,960.0354764974327,16.666050778012877,255.45206356048584,779.23828125,779.1953125,779.68359375,0.0,872,128,5,20
baseline_fp32,32,0.8795871559633027,1837.7050706971204,17.41302263907942,255.45206356048584,779.71875,779.0390625,780.14453125,0.0,872,128,5,20
dynamic_quantized_int8,1,0.8451834862385321,30.28492315352196,33.01973047548268,132.28924465179443,822.35546875,823.2109375,823.2109375,0.0,872,128,5,20
dynamic_quantized_int8,8,0.8348623853211009,228.6829383476288,34.982933391554226,132.28924465179443,823.453125,823.453125,823.453125,0.0,872,128,5,20
dynamic_quantized_int8,16,0.8360091743119266,470.54884214740014,34.00284639312315,132.28924465179443,823.44921875,833.8671875,833.8671875,0.0,872,128,5,20
dynamic_quantized_int8,32,0.8325688073394495,1005.765519347915,31.816561001959087,132.28924465179443,833.875,834.84375,834.63671875,0.0,872,128,5,20
compiled_fp32,1,0.8795871559633027,59.42558880196884,16.827767636134364,255.45401668548584,1038.10546875,1038.10546875,1038.10546875,43.2540340529813,872,128,5,20
compiled_fp32,8,0.8795871559633027,411.0318116028793,19.46321373229682,255.45401668548584,1040.1640625,1040.171875,1040.171875,3.7715669139870442,872,128,5,20
compiled_fp32,16,0.8795871559633027,772.3929725514608,20.71484408661421,255.45401668548584,1042.28515625,1042.28515625,1042.58203125,2.523006435018033,872,128,5,20
compiled_fp32,32,0.8795871559633027,1659.9610057499376,19.27756127352102,255.45401668548584,1041.484375,1042.5859375,1042.5859375,3.4039617820235435,872,128,5,20
